customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No,LongTermContract,tenure_group,AvgMonthlySpend,isNewCustomer,MultipleServices,LowSpender,Contract_Month-to-month,HighRiskChurn
0002-ORFBO,Female,No,Yes,Yes,9,1,No,No,Yes,No,Yes,1,0,Yes,-0.03445487525451578,-0.9759046754466688,No,True,False,False,False,True,0,False,True,0-12,-0.19782607061272228,1,2,0,0,0
0003-MKNFE,Male,No,No,No,9,1,Yes,No,No,No,No,0,1,No,-0.22753014580158826,-0.9967444307600394,No,False,False,False,False,True,0,False,False,0-12,-0.2119019713675674,1,2,0,1,0
0004-TLHLJ,Male,No,No,No,4,1,No,No,No,Yes,No,0,0,Yes,0.24668981694560788,-1.103829656736702,Yes,False,False,False,True,False,1,False,False,0-12,-0.18714815866976633,1,2,0,1,1
0011-IGKFF,Male,Yes,Yes,No,13,1,No,No,Yes,Yes,No,1,1,Yes,1.0630256099604234,-0.7120095028094757,Yes,False,False,False,True,False,1,False,False,13-24,-0.12490984148710596,0,4,0,1,1
0013-EXCHZ,Female,Yes,Yes,No,3,1,No,No,No,No,Yes,1,0,Yes,0.5854183617650335,-1.1093364290149894,Yes,False,False,False,False,True,1,False,False,0-12,-0.14005680405698273,1,3,0,1,0
0013-MHZWF,Female,No,No,Yes,9,1,No,No,No,No,Yes,1,1,Yes,0.09426197177686635,-0.9848506214898346,No,False,False,True,False,False,0,False,False,0-12,-0.20386847594658014,1,3,0,1,0
0013-SMEOE,Female,Yes,Yes,No,71,1,No,Yes,Yes,Yes,Yes,1,1,Yes,1.4593380073991515,2.017384305069794,No,False,True,False,False,False,1,False,True,49-72,-0.08481866014036878,0,4,0,0,0
0014-BMAQU,Male,No,Yes,No,63,1,Yes,Yes,No,No,Yes,0,0,Yes,0.6108230026264905,0.9829913814653629,No,False,True,True,False,False,1,False,True,49-72,-0.14944337161059257,0,2,0,0,0
0015-UOCOJ,Female,Yes,No,No,7,1,No,Yes,No,No,No,0,0,Yes,-0.6238425432403161,-1.0794688425688128,No,False,False,False,True,False,0,False,False,0-12,-0.2408853690346797,1,1,0,1,1
0016-QLJIS,Female,No,Yes,Yes,65,1,Yes,Yes,Yes,Yes,Yes,1,1,Yes,0.8072855586217572,1.2204990839660774,No,False,True,False,False,True,0,False,True,49-72,-0.13376827786513248,0,3,0,0,0
